AirportKey,AirportCode,CityName,StateCode,StateName,Region,ReliabilityScore,FlightCount,MonthlyDelayRate
1c6a0fac2fc0923b66659ff2be5b3c329da52cb8d26aedeed53d7991d163df66,SBN,"South Bend, IN",IN,Indiana,Midwest,89.47,22980,0.1617954070981211
481327936d8a1555d9d9cbc5aae0091692e79a61ea5b383277ab60793244db7f,CLT,"Charlotte, NC",NC,North Carolina,South,88.76,852486,0.22421091821679237
a2f1a6d79bfb0fe6d2fe2f0f08c2f32ce53cc935520e9d8a9f8daa051b4f239b,ACK,"Nantucket, MA",MA,Massachusetts,Northeast,83.56,6608,0.19118522930315665
c466472a3b3f2a26aea6a5e113298338287e055e95b0372bca927a8a61225f50,TOL,"Toledo, OH",OH,Ohio,Midwest,88.32,4090,0.13584905660377358
d02442d0fd72be7adea0306041f14638d90255db8d8b10d818af3ee2441b5786,MEI,"Meridian, MS",MS,Mississippi,South,89.52,2713,0.1890547263681592
1086c1cdd6f163075e21e23fc659d1bd8a31b1518da98889cf96912996e2d3af,JHM,"Kapalua, HI",HI,Hawaii,West,87.48,348,0.13580246913580246
3ab495c54a46538a2d83751d527c3a458774adebe2510c58a05c1c0055485dab,PLN,"Pellston, MI",MI,Michigan,Midwest,89.87,3215,0.10091743119266056
f5e7e2dc797308ea1b581defd6c091bdcd8d6bbbaf2edb8c480584d6e350da7f,FLG,"Flagstaff, AZ",AZ,Arizona,West,89.71,8540,0.1825876662636034
6cc11410230ccafc24fd9d78ee2c60224504daf17cd1bdb9081e8c5ea3868dbc,ITH,"Ithaca/Cortland, NY",NY,New York,Northeast,90.76,5848,0.10714285714285714
b8ec997fafd31d2dfbac31c149e7760117d147fe3369b866a248176a9db17fc3,LSE,"La Crosse, WI",WI,Wisconsin,Midwest,92.26,6037,0.0875
c81ed803e323ad7f22e5e1c48f1cf07217457b2982b7ca85aa6f7e84c8758c86,IND,"Indianapolis, IN",IN,Indiana,Midwest,89.68,157160,0.12690798081116442
50ddb18326fe46b8f73c3756bdea32f5bb95b87e7f7122e92a333b90e949f4eb,TYR,"Tyler, TX",TX,Texas,South,90.48,4805,0.18028169014084508
70a5306a2e2177b25bd5b2d9b0c6c7a70377f8c3067ed754075d02b15af4e576,PIH,"Pocatello, ID",ID,Idaho,West,96.29,2643,0.01744186046511628
b259d2df08fa205517e750d00a1c9958cfa801026adcb09f3b0824cd5dca032f,BGM,"Binghamton, NY",NY,New York,Northeast,91.85,1833,0.12666666666666668
63b89102a585de20b11036145a223acbe81900f2782244168c9d1f4823612d02,MKG,"Muskegon, MI",MI,Michigan,Midwest,90.51,1814,0.1590909090909091
c227325bda7bfe6cc991907298277abfc2e4da781eaf1b2152423163f762de42,GRI,"Grand Island, NE",NE,Nebraska,Midwest,86.28,3666,0.19932432432432431
338841738727c0ee3ebb29a59be61f687e841fdf1a36b56acdd2aa35ac7c9d1c,CLD,"Carlsbad, CA",CA,California,West,50.0,0,0.5
6f5c32a93eb2e307fecb0716e03ef77b8288f20813a9a70aa7960acbff63470a,GJT,"Grand Junction, CO",CO,Colorado,West,90.36,16415,0.18964310706787962
8d87f1663045641686255839674e224fb969575b898caf111e0c5e0581c2b2ca,ATL,"Atlanta, GA",GA,Georgia,South,88.67,1223470,0.18257292943109818
287ab4ea82564152690f10200abdd85769bac0d7d538435a0690b45fd0e540d1,COS,"Colorado Springs, CO",CO,Colorado,West,87.94,42719,0.199264898923602
